id_localidad,localidad,padre,id_municipio,localidad_activo
512,Gocopiro,,3,1
513,Goriego,,3,1
514,Gran Chaparrón,,3,1
515,Guadalupe,,3,1
516,Guadalupe (Los Encinos),,3,1
517,Guajaray,,3,1
518,Guamuchilito,,3,1
519,Guataturi,,3,1
520,Guayparín,,3,1
521,Guayparín (Guayparime),,3,1
522,Huicochic,,3,1
523,Huiquibampo,,3,1
524,Huirocoba,,3,1
525,Huirubampo,,3,1
526,Jamochihuasa,,3,1
527,Jecopaco (San Antonio),,3,1
528,Jobegüi,,3,1
529,Joconas,,3,1
530,Juchica,,3,1
531,Jurinavo,,3,1
532,La Aceituna,,3,1
533,La Aduana,,3,1
534,La Bandera,,3,1
535,La Batea,,3,1
536,La Bebelama,,3,1
537,La Cabaña,,3,1
538,La Camilla,,3,1
539,La Caña,,3,1
540,La Cañada del Agua,,3,1
541,La Casita,,3,1
542,La Chuna,,3,1
543,La Ciénega,,3,1
544,La Cieneguilla,,3,1
545,La Cieneguita,,3,1
546,La Colorada,,3,1
547,La Concepción,,3,1
548,La Cuarentenaria,,3,1
549,La Cuchilla,,3,1
550,La Cuchilla de los Citahuis,,3,1
551,La Cuesta,,3,1
552,La Cuesta del Carrizal,,3,1
553,La Escondida,,3,1
554,La Esperanza,,3,1
555,La Esperanza (Testapochi),,3,1
556,La Gacela,,3,1
557,La Haciendita,,3,1
558,La Higuera,,3,1
559,La Hortaliza,,3,1
560,La Huerta,,3,1
561,La Huerta de los Ricos,,3,1
562,La Iguana (La Iguana Norte),,3,1
563,La Iguana Sur (El Coyote),,3,1
564,La Independencia,,3,1
565,La Isleta,,3,1
566,La Junta,,3,1
567,La Labor de Santa Lucía (El Mezquital),,3,1
568,La Labor Grande,,3,1
569,La Laborcita,,3,1
570,La Ladrillera,,3,1
571,La Laguna,,3,1
572,La Lechería,,3,1
573,La Majada,,3,1
574,La Mesa,,3,1
575,La Mezcalera,,3,1
576,La Mina de la Cruz,,3,1
577,La Mojonera,,3,1
578,La Noria,,3,1
579,La Noria (Toribampo),,3,1
580,La Noria del Naranjo,,3,1
581,La Palma,,3,1
582,La Pasadita (Tres Marías),,3,1
583,La Pionia,,3,1
584,La Presa,,3,1
585,La Providencia,,3,1
586,La Quintera,,3,1
587,La Reforma,,3,1
588,La Sauceda,,3,1
589,La Sierrita,,3,1
590,La Soledad,,3,1
591,La Tescalama,,3,1
592,La Tinaja,,3,1
593,La Tinajera,,3,1
594,La Toma de Agua,,3,1
595,La Tribuna (Cuernavaca),,3,1
596,La Urraca,,3,1
597,La Uvalama,,3,1
598,La Ventana,,3,1
599,La Vinata,,3,1
600,La Vinatería,,3,1
601,La Zata,,3,1
602,Las Algarrobas,,3,1
603,Las Amapas [Agropecuaria],,3,1
604,Las Ánimas,,3,1
605,Las Burras,,3,1
606,Las Cabras,,3,1
